,Total reported direct emissions from Local Distribution Companies,Nitrous Oxide (N2O) emissions ,Methane (CH4) emissions ,CO2 emissions (non-biogenic) ,Does the facility employ continuous emissions monitoring? ,Reported County,Reported State,County_Emissions,County,State,Ethnicities.American Indian and Alaska Native Alone,Ethnicities.Asian Alone,Ethnicities.Black Alone,Ethnicities.Hispanic or Latino,Ethnicities.Native Hawaiian and Other Pacific Islander Alone,Ethnicities.Two or More Races,Ethnicities.White Alone,Ethnicities.White Alone	 not Hispanic or Latino
0,76659.696,0.596,75556.5,1102.6,N,PEORIA COUNTY,IL,PEORIA COUNTY,ABBEVILLE COUNTY,SC,0.3,0.4,27.6,1.6,0.0,1.4,70.2,68.9
1,14890.65,,14872.75,17.9,N,ST. LOUIS CITY,MO,ST. LOUIS CITY,ACADIA PARISH,LA,0.4,0.3,18.0,2.8,0.0,1.6,79.7,77.3
2,200092.9,,188299.5,11793.4,N,FULTON COUNTY,GA,FULTON COUNTY,ACCOMACK COUNTY,VA,0.7,0.8,28.8,9.1,0.2,1.7,67.8,59.9
3,16014.8,,15995.5,19.3,N,DALLAS COUNTY,TX,DALLAS COUNTY,ADA COUNTY,ID,0.8,2.7,1.4,8.5,0.2,3.0,91.9,84.3
4,23302.85,,23274.75,28.1,N,DALLAS COUNTY,TX,DALLAS COUNTY,ADAIR COUNTY,IA,0.3,0.5,0.6,2.5,0.0,1.2,97.4,95.1
5,24439.65,,24410.25,29.4,N,DALLAS COUNTY,TX,DALLAS COUNTY,ADAIR COUNTY,KY,0.3,0.4,2.9,2.2,0.1,1.5,94.8,93.0
6,50292.0,,50231.5,60.5,N,DALLAS COUNTY,TX,DALLAS COUNTY,ADAIR COUNTY,MO,0.4,2.6,3.4,2.6,0.1,2.0,91.5,89.4
7,56267.95,,56200.25,67.7,N,DALLAS COUNTY,TX,DALLAS COUNTY,ADAIR COUNTY,OK,46.1,0.8,0.6,7.1,0.1,10.3,42.1,39.4
8,17832.75,,17811.25,21.5,N,DALLAS COUNTY,TX,DALLAS COUNTY,ADAMS COUNTY,CO,2.3,4.5,4.0,40.8,0.2,3.2,85.7,49.0
9,512875.75,,512258.25,617.5,N,DALLAS COUNTY,TX,DALLAS COUNTY,ADAMS COUNTY,IA,0.5,0.7,0.5,1.4,0.0,0.8,97.4,96.1
10,2654.45,,2651.25,3.2,N,DALLAS COUNTY,TX,DALLAS COUNTY,ADAMS COUNTY,ID,1.4,0.9,0.4,3.6,0.4,2.6,94.3,91.6
11,16099.65,,16080.25,19.4,N,SPOKANE COUNTY,WA,SPOKANE COUNTY,ADAMS COUNTY,IL,0.3,0.9,3.9,1.8,0.0,2.1,92.8,91.4
12,182992.948,0.298,182033.75,958.9,N,BALTIMORE CITY,MD,BALTIMORE CITY,ADAMS COUNTY,IN,0.3,0.4,0.6,4.5,0.0,0.9,97.8,93.6
13,384.25,,383.75,0.5,N,RIPLEY COUNTY,IN,RIPLEY COUNTY,ADAMS COUNTY,MS,0.5,0.6,53.4,10.1,0.0,1.0,44.4,35.5
14,1399.2,,1397.5,1.7,N,MARSHALL COUNTY,KY,MARSHALL COUNTY,ADAMS COUNTY,ND,0.7,2.8,0.9,1.6,0.0,1.8,93.7,92.2
15,33943.65,,33902.75,40.9,N,EL PASO COUNTY,CO,EL PASO COUNTY,ADAMS COUNTY,NE,1.3,1.3,1.3,11.0,0.1,1.3,94.7,85.1
16,173850.8,,173641.5,209.3,N,JEFFERSON COUNTY,AR,JEFFERSON COUNTY,ADAMS COUNTY,OH,0.6,0.4,0.5,1.0,0.0,1.5,97.1,96.2
17,55155.9,,55089.5,66.4,N,LANCASTER COUNTY,NE,LANCASTER COUNTY,ADAMS COUNTY,PA,0.4,0.9,2.0,7.3,0.0,1.5,95.1,88.7
18,367635.6,,367193.0,442.6,N,MIDDLESEX COUNTY,MA,MIDDLESEX COUNTY,ADAMS COUNTY,WA,6.2,1.4,2.2,64.7,0.1,1.7,88.5,32.5
19,200737.948,0.298,199838.25,899.4,N,NEW YORK COUNTY,NY,NEW YORK COUNTY,ADAMS COUNTY,WI,1.2,0.6,2.9,4.2,0.0,1.4,93.8,90.3
20,29165.85,,29130.75,35.1,N,,TX,,ADDISON COUNTY,VT,0.3,1.8,1.3,2.3,0.0,2.0,94.5,92.6
21,599.45,,598.75,0.7,N,,IL,,AIKEN COUNTY,SC,0.6,1.2,25.3,5.9,0.1,2.2,70.7,65.8
22,24418.248,0.298,23743.25,674.7,N,BENTON COUNTY,WA,BENTON COUNTY,AITKIN COUNTY,MN,2.7,0.3,0.6,1.4,0.0,1.6,94.8,93.8
23,1137.4,,1136.0,1.4,N,BLACK HAWK COUNTY,IA,BLACK HAWK COUNTY,ALACHUA COUNTY,FL,0.4,6.2,20.6,10.5,0.1,2.9,69.9,60.6
24,15914.7,,15895.5,19.2,N,HARRIS COUNTY,TX,HARRIS COUNTY,ALAMANCE COUNTY,NC,1.5,1.7,20.9,13.1,0.1,2.3,73.6,62.9
25,1638.0,,1636.0,2.0,N,HARRIS COUNTY,TX,HARRIS COUNTY,ALAMEDA COUNTY,CA,1.1,32.3,11.0,22.3,0.9,5.4,49.3,30.6
26,14071.15,,14054.25,16.9,N,HARRIS COUNTY,TX,HARRIS COUNTY,ALAMOSA COUNTY,CO,5.5,1.7,1.8,47.6,0.3,3.2,87.5,47.1
27,19723.45,,19699.75,23.7,N,HARRIS COUNTY,TX,HARRIS COUNTY,ALBANY COUNTY,NY,0.3,6.8,14.1,6.3,0.1,2.9,75.8,71.6
28,166452.4,,166252.0,200.4,N,HARRIS COUNTY,TX,HARRIS COUNTY,ALBANY COUNTY,WY,1.1,3.9,2.0,9.7,0.1,2.6,90.3,81.9
29,67438.2,,67357.0,81.2,N,HENNEPIN COUNTY,MN,HENNEPIN COUNTY,ALBEMARLE COUNTY,VA,0.4,5.5,9.7,5.8,0.1,2.6,81.8,76.9
30,17236.4,,17094.0,142.4,N,DUTCHESS COUNTY,NY,DUTCHESS COUNTY,ALCONA COUNTY,MI,0.7,0.4,0.5,1.6,0.1,1.4,96.8,95.3
31,9299.95,,9288.75,11.2,N,HAMILTON COUNTY,TN,HAMILTON COUNTY,ALCORN COUNTY,MS,0.4,0.4,12.4,3.2,0.0,1.3,85.5,82.7
32,5994.95,,5987.75,7.2,N,KENT COUNTY,DE,KENT COUNTY,ALEUTIANS EAST BOROUGH,AK,20.2,43.4,10.2,14.8,1.2,3.9,21.1,9.1
33,1667.75,,1665.75,2.0,N,WICOMICO COUNTY,MD,WICOMICO COUNTY,ALEUTIANS WEST CENSUS AREA,AK,12.1,40.1,7.1,14.0,2.5,4.3,33.9,23.6
34,6330.05,,6190.25,139.8,N,GREENE COUNTY,MO,GREENE COUNTY,ALEXANDER COUNTY,IL,0.5,0.3,31.8,1.9,0.2,2.4,64.9,63.7
35,2068.5,,2066.0,2.5,N,NEOSHO COUNTY,KS,NEOSHO COUNTY,ALEXANDER COUNTY,NC,0.5,1.0,5.9,4.8,0.1,1.7,90.8,86.7
36,1589.3,,1587.5,1.8,N,CHARLOTTESVILLE CITY,VA,CHARLOTTESVILLE CITY,ALEXANDRIA CITY,VA,0.2,5.9,21.8,16.7,0.0,5.3,62.2,51.9
37,360.0,,359.5,0.5,N,TIPTON COUNTY,TN,TIPTON COUNTY,ALFALFA COUNTY,OK,4.2,0.4,4.7,6.0,0.1,3.1,87.4,83.1
38,0.0,,,0.0,N,,NM,,ALGER COUNTY,MI,4.5,0.5,7.3,1.7,0.0,3.1,84.7,83.4
39,2149.5,,2147.0,2.5,N,,NC,,ALLAMAKEE COUNTY,IA,0.7,0.5,1.6,7.1,0.3,0.8,96.1,90.0
40,6777.45,,6769.25,8.2,N,MARICOPA COUNTY,AZ,MARICOPA COUNTY,ALLEGAN COUNTY,MI,0.7,0.9,1.6,7.5,0.0,1.9,94.9,88.1
41,544.95,,544.25,0.7,N,PERRY COUNTY,MO,PERRY COUNTY,ALLEGANY COUNTY,MD,0.2,1.1,8.3,1.9,0.1,2.1,88.2,86.7
42,409.75,,409.25,0.5,N,JASPER COUNTY,IN,JASPER COUNTY,ALLEGANY COUNTY,NY,0.3,1.3,1.4,1.7,0.0,1.4,95.6,94.3
43,25527.2,,25496.5,30.7,N,CHESTERFIELD COUNTY,VA,CHESTERFIELD COUNTY,ALLEGHANY COUNTY,NC,0.5,0.8,1.8,9.9,0.0,1.4,95.4,86.7
44,4298.95,,4293.75,5.2,N,LEON COUNTY,FL,LEON COUNTY,ALLEGHANY COUNTY,VA,0.3,0.3,4.7,1.6,0.1,1.9,92.8,91.4
45,1803.45,,1801.25,2.2,N,UNION COUNTY,SC,UNION COUNTY,ALLEGHENY COUNTY,PA,0.2,4.2,13.4,2.3,0.0,2.3,79.9,78.1
46,1982.15,,1979.75,2.4,N,,AL,,ALLEN COUNTY,IN,0.5,4.6,12.0,7.7,0.1,3.2,79.6,73.1
47,32589.2,,32550.0,39.2,N,FAYETTE COUNTY,IN,FAYETTE COUNTY,ALLEN COUNTY,KS,1.0,1.2,2.2,3.8,0.0,3.0,92.5,89.5
48,236940.05,,236654.75,285.3,N,FRANKLIN COUNTY,IN,FRANKLIN COUNTY,ALLEN COUNTY,KY,0.3,0.3,1.3,2.4,0.0,1.4,96.7,94.6
49,123860.6,,123711.5,149.1,N,WASHINGTON COUNTY,IN,WASHINGTON COUNTY,ALLEN COUNTY,OH,0.3,0.8,12.5,3.3,0.0,3.1,83.2,80.6
50,32297.65,,32258.75,38.9,N,CHESTERFIELD COUNTY,IN,CHESTERFIELD COUNTY,ALLEN PARISH,LA,2.3,0.6,22.7,2.3,0.0,1.9,72.4,70.9
51,46244.35,,46193.75,50.6,N,HARTFORD COUNTY,CT,HARTFORD COUNTY,ALLENDALE COUNTY,SC,0.4,0.9,72.8,3.7,0.1,0.9,24.9,22.3
52,216664.188,1.788,213366.0,3296.4,N,JACKSON COUNTY,MI,JACKSON COUNTY,ALPENA COUNTY,MI,0.6,0.6,0.5,1.5,0.0,1.3,96.8,95.5
53,390918.898,0.298,390409.0,509.6,N,WAYNE COUNTY,MI,WAYNE COUNTY,ALPINE COUNTY,CA,25.7,1.6,0.4,12.3,-1.0,4.4,67.9,61.3
54,23431.2,,23403.0,28.2,N,NEW CASTLE COUNTY,DE,NEW CASTLE COUNTY,AMADOR COUNTY,CA,2.3,1.7,2.7,14.5,0.3,3.4,89.6,77.3
55,573875.0,,573184.0,691.0,N,CUYAHOGA COUNTY,OH,CUYAHOGA COUNTY,AMELIA COUNTY,VA,0.6,0.6,20.4,3.2,0.0,1.8,76.5,74.0
56,96543.546,0.596,95275.75,1267.2,N,SALT LAKE COUNTY,UT,SALT LAKE COUNTY,AMHERST COUNTY,VA,0.9,0.6,19.1,2.4,0.0,2.5,76.9,74.9
57,3003.6,,3000.0,3.6,N,SALT LAKE COUNTY,UT,SALT LAKE COUNTY,AMITE COUNTY,MS,0.4,0.2,40.0,1.3,0.0,0.9,58.6,57.9
58,66293.8,,66207.0,86.8,N,HARRISON COUNTY,WV,HARRISON COUNTY,ANCHORAGE MUNICIPALITY,AK,9.1,10.0,6.0,9.4,2.8,8.4,63.8,57.1
59,6451.05,,6443.25,7.8,N,HAMILTON COUNTY,OH,HAMILTON COUNTY,ANDERSON COUNTY,KS,0.7,0.7,0.6,2.1,0.0,1.9,96.0,94.1
60,28303.35,,28269.25,34.1,N,HAMILTON COUNTY,OH,HAMILTON COUNTY,ANDERSON COUNTY,KY,0.3,0.7,2.1,1.9,0.0,1.8,95.1,93.4
61,45326.698,0.298,44833.0,493.4,N,UNION COUNTY,NJ,UNION COUNTY,ANDERSON COUNTY,SC,0.3,1.0,16.3,4.0,0.0,1.8,80.5,77.1
62,3331.6,,3327.5,4.1,N,COFFEE COUNTY,TN,COFFEE COUNTY,ANDERSON COUNTY,TN,0.5,1.5,4.1,3.2,0.1,2.3,91.6,88.9
63,539.35,,538.75,0.6,N,CECIL COUNTY,MD,CECIL COUNTY,ANDERSON COUNTY,TX,0.7,0.9,21.9,18.2,0.2,1.7,74.5,58.3
64,35470.45,,35427.75,42.7,N,ESCAMBIA COUNTY,FL,ESCAMBIA COUNTY,ANDREW COUNTY,MO,0.3,0.6,1.2,2.7,0.0,1.6,96.3,93.9
65,10133.1,,10121.0,12.1,N,EAST BATON ROUGE PARISH,LA,EAST BATON ROUGE PARISH,ANDREWS COUNTY,TX,1.5,0.7,2.0,56.6,0.0,1.5,94.3,39.9
66,15727.65,,15708.75,18.9,N,ORLEANS PARISH,LA,ORLEANS PARISH,ANDROSCOGGIN COUNTY,ME,0.4,0.9,4.5,1.9,0.0,2.4,91.7,90.2
67,97639.5,,97438.5,201.0,N,WORCESTER COUNTY,MA,WORCESTER COUNTY,ANGELINA COUNTY,TX,0.8,1.1,15.7,22.7,0.1,1.4,81.0,59.9
68,1579.4,,1577.5,1.9,N,LINCOLN COUNTY,TN,LINCOLN COUNTY,ANNE ARUNDEL COUNTY,MD,0.4,4.2,18.3,8.4,0.1,3.3,73.6,66.7
69,19502.5,,19479.0,23.5,N,BREVARD COUNTY,FL,BREVARD COUNTY,ANOKA COUNTY,MN,0.9,5.0,7.4,4.9,0.1,2.9,83.8,79.7
70,1153.7,,1152.0,1.7,N,,SC,,ANSON COUNTY,NC,0.9,1.5,48.5,4.1,0.1,1.7,47.4,44.3
71,406.9,,406.5,0.4,N,GIBSON COUNTY,TN,GIBSON COUNTY,ANTELOPE COUNTY,NE,0.5,0.5,0.4,3.4,-1.0,0.7,97.9,94.9
72,8480.2,,8469.5,10.7,N,MADISON COUNTY,AL,MADISON COUNTY,ANTRIM COUNTY,MI,1.3,0.3,0.4,2.5,0.1,1.5,96.5,94.4
73,1481.8,,1480.0,1.8,N,RICHLAND COUNTY,IL,RICHLAND COUNTY,APACHE COUNTY,AZ,75.0,0.5,0.6,6.6,0.1,1.6,22.3,18.0
74,73890.25,,73801.25,89.0,N,VANDERBURGH COUNTY,IN,VANDERBURGH COUNTY,APPANOOSE COUNTY,IA,0.3,0.7,0.9,2.2,0.1,1.6,96.4,94.6
75,33217.2,,33148.0,69.2,N,ADA COUNTY,ID,ADA COUNTY,APPLING COUNTY,GA,0.6,0.8,19.6,10.0,0.2,1.6,77.2,68.7
76,21323.2,,21297.5,25.7,N,LINN COUNTY,IA,LINN COUNTY,APPOMATTOX COUNTY,VA,0.3,0.4,18.5,1.9,0.1,2.0,78.7,77.1
77,3751.9,,3747.5,4.4,N,MADISON COUNTY,TN,MADISON COUNTY,ARANSAS COUNTY,TX,1.3,2.1,1.7,27.9,0.1,1.9,92.9,66.8
78,691.8,,691.0,0.8,N,DUBOIS COUNTY,IN,DUBOIS COUNTY,ARAPAHOE COUNTY,CO,1.2,6.6,11.5,19.8,0.3,4.0,76.5,59.4
79,256331.26,5.96,245326.0,10999.3,N,NASSAU COUNTY,NY,NASSAU COUNTY,ARCHER COUNTY,TX,1.5,0.5,1.1,8.2,0.1,1.6,95.1,88.3
80,94739.85,,94625.75,114.1,N,JOHNSON COUNTY,KS,JOHNSON COUNTY,ARCHULETA COUNTY,CO,3.4,1.2,0.7,18.4,0.1,2.5,92.1,76.8
81,22118.1,,22091.5,26.6,N,JEFFERSON COUNTY,KY,JEFFERSON COUNTY,ARENAC COUNTY,MI,1.4,0.3,0.5,2.0,0.1,1.8,96.0,94.3
82,22009.35,,21859.75,149.6,N,BRISTOL COUNTY,MA,BRISTOL COUNTY,ARKANSAS COUNTY,AR,0.3,0.8,25.1,3.4,0.0,1.9,71.8,69.1
83,29581.35,,29549.75,31.6,N,SHELBY COUNTY,TN,SHELBY COUNTY,ARLINGTON COUNTY,VA,0.6,11.0,9.7,15.6,0.1,3.6,75.0,61.4
84,46031.9,,45976.5,55.4,N,DOUGLAS COUNTY,NE,DOUGLAS COUNTY,ARMSTRONG COUNTY,PA,0.1,0.3,0.9,0.8,0.0,1.0,97.6,97.0
85,7454.0,,7445.0,9.0,N,POLK COUNTY,IA,POLK COUNTY,ARMSTRONG COUNTY,TX,1.3,0.4,1.2,9.2,-1.0,0.8,96.3,88.1
86,891.6,,890.5,1.1,N,POLK COUNTY,IA,POLK COUNTY,AROOSTOOK COUNTY,ME,1.9,0.5,1.2,1.4,0.0,1.5,94.8,93.7
87,8425.6,,8415.5,10.1,N,POLK COUNTY,IA,POLK COUNTY,ARTHUR COUNTY,NE,0.4,0.2,-1.0,4.3,-1.0,2.2,97.2,94.2
88,76964.496,0.596,75974.0,989.9,N,POLK COUNTY,IA,POLK COUNTY,ASCENSION PARISH,LA,0.4,1.4,24.0,6.0,0.1,1.5,72.6,67.5
89,17122.0,,17100.0,22.0,N,DEKALB COUNTY,TN,DEKALB COUNTY,ASHE COUNTY,NC,0.4,0.5,1.0,5.1,0.1,1.2,96.9,92.3
90,1311.0,,1203.5,107.5,N,PLYMOUTH COUNTY,MA,PLYMOUTH COUNTY,ASHLAND COUNTY,OH,0.3,0.7,0.9,1.5,0.1,1.3,96.7,95.5
91,26665.85,,26633.75,32.1,N,DAKOTA COUNTY,MN,DAKOTA COUNTY,ASHLAND COUNTY,WI,11.7,0.6,0.5,3.0,0.0,3.4,83.8,82.2
92,131673.25,,131514.75,158.5,N,KANAWHA COUNTY,WV,KANAWHA COUNTY,ASHLEY COUNTY,AR,0.8,0.3,24.7,5.7,0.1,1.3,72.9,68.5
93,1412.95,,1411.25,1.7,N,CALLOWAY COUNTY,KY,CALLOWAY COUNTY,ASHTABULA COUNTY,OH,0.3,0.5,3.8,4.4,0.0,2.3,93.0,89.3
94,170045.35,,169821.75,223.6,N,ONONDAGA COUNTY,NY,ONONDAGA COUNTY,ASOTIN COUNTY,WA,1.8,1.0,0.8,4.4,0.3,2.9,93.2,89.8
95,143046.7,,132463.0,10583.7,N,DUPAGE COUNTY,IL,DUPAGE COUNTY,ASSUMPTION PARISH,LA,0.8,0.4,29.6,3.3,0.1,1.2,68.0,65.4
96,146426.192,23.542,104548.75,41853.9,N,LAKE COUNTY,IN,LAKE COUNTY,ATASCOSA COUNTY,TX,1.3,0.6,1.4,64.8,0.1,1.2,95.3,32.8
97,25524.45,,25493.75,30.7,N,SILVER BOW COUNTY,MT,SILVER BOW COUNTY,ATCHISON COUNTY,KS,0.8,0.7,4.8,3.2,0.1,2.8,90.9,88.2
98,90647.1,,90538.0,109.1,N,NORFOLK COUNTY,MA,NORFOLK COUNTY,ATCHISON COUNTY,MO,0.4,0.4,0.5,1.5,0.1,1.3,97.4,96.1
99,57582.05,,57512.75,69.3,N,MULTNOMAH COUNTY,OR,MULTNOMAH COUNTY,ATHENS COUNTY,OH,0.4,3.1,2.8,1.9,0.1,2.4,91.2,89.7
100,8920.45,,8909.75,10.7,N,,OR,,ATKINSON COUNTY,GA,1.6,1.0,17.4,25.4,1.1,2.3,76.6,56.0
101,84018.55,,83910.75,107.8,N,,PA,,ATLANTIC COUNTY,NJ,0.7,8.1,17.1,19.4,0.1,2.7,71.3,56.0
102,144717.45,,144513.25,204.2,N,ERIE COUNTY,NY,ERIE COUNTY,ATOKA COUNTY,OK,14.8,0.8,3.9,3.6,0.0,8.0,72.5,70.2
103,33565.4,,33525.0,40.4,N,MONMOUTH COUNTY,NJ,MONMOUTH COUNTY,ATTALA COUNTY,MS,0.4,0.4,43.6,2.0,0.0,0.9,54.6,53.0
104,56122.65,,56055.25,67.4,N,BERNALILLO COUNTY,NM,BERNALILLO COUNTY,AUDRAIN COUNTY,MO,0.6,0.5,6.9,3.3,0.1,2.0,89.9,87.2
